scan,inserts,calculated_agat_large,calculated_agat_medium,calculated_agat_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_cal_factor
Large_rep1,Low Density,137.409088,22.385536,0.0,19.6,25.179247385411855,4.2,4.6873431409529545,0.2,0.0,0.0007222519504066924
Large_rep1,Medium Density,236.71513599999997,69.53804799999999,0.0,39.3,49.43043454090885,8.5,10.959923991380181,0.3,0.0,0.0007222519504066924
Large_rep1,High Density,396.271616,89.304,6.191744,78.5,94.32684671276573,17.0,21.402879963219124,0.6,1.1398437911013954,0.0007222519504066924
Large_rep2,Low Density,155.746176,28.100991999999998,0.952576,19.6,25.327845158092366,4.2,5.959736009713637,0.2,0.36925574063650357,0.0007228701895993029
Large_rep2,Medium Density,271.48416,83.3504,0.0,39.3,49.97140520241779,8.5,12.711176985015749,0.3,0.0,0.0007228701895993029
Large_rep2,High Density,346.26137600000004,146.696704,3.334016,78.5,98.5521294744251,17.0,24.301675708239593,0.6,1.2243108752479317,0.0007228701895993029
Large_rep3,Low Density,131.69363199999998,31.435008,0.0,19.6,24.36769939258749,4.2,6.442223339866316,0.2,0.0,0.0007190124559613215
Large_rep3,Medium Density,251.00377599999996,64.060736,3.095872,39.3,52.20894018308541,8.5,10.384768945347036,0.3,0.983267443921953,0.0007190124559613215
Large_rep3,High Density,338.16447999999997,91.20915199999999,4.286592,78.5,96.01706758571724,17.0,23.116767158154595,0.6,2.1441233059565357,0.0007190124559613215
Large_rep4,Low Density,155.746176,20.480384,0.952576,19.6,25.255840345559086,4.2,4.681061829760886,0.2,0.2787160334345616,0.0007292010274957114
Large_rep4,Medium Density,264.816128,62.393727999999996,0.952576,39.3,47.944888360777824,8.5,11.913056626780632,0.3,0.3470926304220125,0.0007292010274957114
Large_rep4,High Density,343.403648,143.838976,2.38144,78.5,98.89730505990656,17.0,23.892997086746355,0.6,0.8200502957557821,0.0007292010274957114
Large_rep5,Low Density,164.795648,36.197888,2.38144,19.6,27.35534756265359,4.2,6.653380070513979,0.2,0.8378965474006521,0.0007226216721221612
Large_rep5,Medium Density,263.625408,66.44217599999999,1.905152,39.3,49.76527275827841,8.5,11.698469540722122,0.3,0.7945303674982155,0.0007226216721221612
Large_rep5,High Density,394.366464,105.021504,4.286592,78.5,94.67817974390204,17.0,23.905245286385718,0.6,1.7148685468509601,0.0007226216721221612
Small_rep1,Low Density,107.879232,15.241215999999998,0.0,19.6,20.69069716164873,4.2,2.9628462998762424,0.2,0.0,0.0007177458439735389
Small_rep1,Medium Density,196.4688,51.439104,0.0,39.3,40.51120564713097,8.5,8.579844979150101,0.3,0.0,0.0007177458439735389
Small_rep1,High Density,298.632576,66.68032,1.667008,78.5,87.47472956898378,17.0,17.55401823877871,0.6,0.5476496795202193,0.0007177458439735389
Small_rep2,Low Density,113.59468799999999,14.764928,0.0,19.6,20.889680496209497,4.2,2.9139507502210167,0.2,0.0,0.0007129340558334588
Small_rep2,Medium Density,190.753344,49.533952,0.0,39.3,38.55267369952438,8.5,8.069010275301755,0.3,0.0,0.0007129340558334588
Small_rep2,High Density,279.581056,65.251456,1.19072,78.5,86.31732314952896,17.0,17.656371745570972,0.6,0.3942314072139603,0.0007129340558334588
Small_rep3,Low Density,109.069952,16.67008,0.0,19.6,20.512908392467722,4.2,3.832777033235935,0.2,0.0,0.0007141625582687574
Small_rep3,Medium Density,193.13478399999997,46.676224,0.0,39.3,40.492636273789074,8.5,7.546672670206698,0.3,0.0,0.0007141625582687574
Small_rep3,High Density,278.152192,92.399872,0.952576,78.5,90.77793623220239,17.0,19.083270313776683,0.6,0.3030710273884645,0.0007141625582687574
Small_rep4,Low Density,111.451392,14.764928,0.0,19.6,21.556835578722932,4.2,2.6979903511244547,0.2,0.0,0.0007153652362521325
Small_rep4,Medium Density,200.517248,52.39168,0.0,39.3,40.76219292188543,8.5,8.545765611129381,0.3,0.0,0.0007153652362521325
Small_rep4,High Density,277.199616,81.921536,1.19072,78.5,91.19810460984087,17.0,19.080142788128295,0.6,0.4185743696857224,0.0007153652362521325
Small_rep5,Low Density,114.070976,15.717504,0.0,19.6,21.570121115063955,4.2,3.2360009249352664,0.2,0.0,0.0007112866926356895
Small_rep5,Medium Density,196.230656,51.439104,0.0,39.3,39.23244588704495,8.5,8.472651291056172,0.3,0.0,0.0007112866926356895
Small_rep5,High Density,267.673856,105.735936,1.19072,78.5,88.43307552778498,17.0,19.25898226352413,0.6,0.43143291225974273,0.0007112866926356895
