inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,109.069952,22.86,16.67008,0.0,0.0
Medium Density,238.38,193.13478399999997,69.54,46.676224,0.0,0.0
High Density,402.94,278.152192,88.11,92.399872,6.19,0.952576
