inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,111.451392,22.86,14.764928,0.0,0.0
Medium Density,238.38,200.517248,69.54,52.39168,0.0,0.0
High Density,402.94,277.199616,88.11,81.921536,6.19,1.19072
