inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,107.879232,22.86,15.241215999999998,0.0,0.0
Medium Density,238.38,196.4688,69.54,51.439104,0.0,0.0
High Density,402.94,298.632576,88.11,66.68032,6.19,1.667008
