inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,164.795648,22.86,36.197888,0.0,2.38144
Medium Density,238.38,263.625408,69.54,66.44217599999999,0.0,1.905152
High Density,402.94,394.366464,88.11,105.021504,6.19,4.286592
