inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,131.69363199999998,22.86,31.911296,0.0,0.0
Medium Density,238.38,251.00377599999996,69.54,64.060736,0.0,3.095872
High Density,402.94,338.16447999999997,88.11,91.20915199999999,6.19,4.286592
