inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,113.59468799999999,22.86,14.764928,0.0,0.0
Medium Density,238.38,190.753344,69.54,49.533952,0.0,0.0
High Density,402.94,279.581056,88.11,65.251456,6.19,1.19072
