inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,155.746176,22.86,28.100991999999998,0.0,0.952576
Medium Density,238.38,271.48416,69.54,83.3504,0.0,0.0
High Density,402.94,346.26137600000004,88.11,146.696704,6.19,3.334016
