inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,155.746176,22.86,20.480384,0.0,0.952576
Medium Density,238.38,264.816128,69.54,62.393727999999996,0.0,0.952576
High Density,402.94,343.403648,88.11,143.838976,6.19,2.38144
