inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,116.22848225335454,21.2,17.89306837052946,0.8,0.27766882903581014,19.6,23.24569645067091,4.2,3.578613674105892,0.2,0.05553376580716203
Medium Density,98.2,97.37686893669861,21.2,24.359184153454194,0.8,0.24326871012987655,39.3,38.95074757467945,8.5,9.743673661381678,0.3,0.09730748405195062
High Density,98.2,99.74444913754765,21.2,18.91685496614555,0.8,1.5422346567478797,78.5,79.79555931003813,17.0,15.13348397291644,0.6,1.2337877253983038
