inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,19.6,18.931272081363925,4.2,4.460163930475087,0.2,0.0
Medium Density,39.3,41.35865194960085,8.5,7.792710016106202,0.3,0.8430143793326157
High Density,78.5,86.70893930323314,17.0,16.205726429794183,0.6,0.9509986273464339
