inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,19.6,20.805134408809085,4.2,4.099597882567693,0.2,0.0
Medium Density,39.3,40.70630994036394,8.5,10.687383081603329,0.3,0.0
High Density,78.5,90.02843640197693,17.0,18.485083077773442,0.6,1.0752073171032357
