inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,93.7239412539245,21.2,20.03175368495446,0.8,0.46803214233488055,19.6,18.7447882507849,4.2,4.006350736990892,0.2,0.09360642846697612
Medium Density,98.2,104.00824884107747,21.2,18.359649615714297,0.8,0.0,39.3,41.603299536430995,8.5,7.343859846285719,0.3,0.0
High Density,98.2,109.440334187476,21.2,19.31398554797664,0.8,0.6121926650915646,78.5,87.55226734998081,17.0,15.451188438381312,0.6,0.4897541320732517
