inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,97.96971288136014,21.2,17.477898585213268,0.8,0.41375987306421713,19.6,19.593942576272028,4.2,3.495579717042654,0.2,0.08275197461284343
Medium Density,98.2,100.03854080082064,21.2,18.695456068151568,0.8,0.057774559817753396,39.3,40.01541632032826,8.5,7.478182427260627,0.3,0.02310982392710136
High Density,98.2,107.67680124847867,21.2,18.320325386362672,0.8,0.38721099729223263,78.5,86.14144099878294,17.0,14.656260309090138,0.6,0.30976879783378614
