inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,99.03639098481594,21.2,22.891510087406154,0.8,0.22920460349146882,19.6,19.80727819696319,4.2,4.578302017481231,0.2,0.04584092069829376
Medium Density,98.2,100.40617765684424,21.2,18.983774617461595,0.8,0.23836713335447382,39.3,40.162471062737694,8.5,7.593509846984638,0.3,0.09534685334178954
High Density,98.2,109.16600878967071,21.2,20.323793962771077,0.8,0.62083537840366,78.5,87.33280703173658,17.0,16.259035170216862,0.6,0.496668302722928
