inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,110.45318701027722,21.2,28.3764506581755,0.8,0.6804155803415737,19.6,22.090637402055446,4.2,5.6752901316351005,0.2,0.13608311606831475
Medium Density,98.2,97.43014359109334,21.2,16.7372368260179,0.8,0.0,39.3,38.97205743643734,8.5,6.69489473040716,0.3,0.0
High Density,98.2,102.3278022650949,21.2,18.50495197503402,0.8,1.7134950902172759,78.5,81.86224181207592,17.0,14.803961580027218,0.6,1.3707960721738208
