inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,17.553049087428224,21.2,5.935765160386477,0.8,0.0,19.6,3.510609817485645,4.2,1.1871530320772956,0.2,0.0
Medium Density,98.2,0.0,21.2,-5.733739295348849,0.8,0.0,39.3,0.0,8.5,-2.29349571813954,0.3,0.0
High Density,98.2,0.23337617429125634,21.2,0.0730119826778166,0.8,0.2696544733292159,78.5,0.1867009394330051,17.0,0.05840958614225328,0.6,0.21572357866337272
