inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,123.19217769495718,21.2,19.030933015561818,0.8,0.25238815546385807,19.6,24.638435538991438,4.2,3.806186603112364,0.2,0.05047763109277162
Medium Density,98.2,92.8417988602197,21.2,23.239077210501595,0.8,0.22109535750684606,39.3,37.13671954408788,8.5,9.295630884200639,0.3,0.08843814300273843
High Density,98.2,90.67140495991657,21.2,17.193630982102743,0.8,1.4023003326716668,78.5,72.53712396793325,17.0,13.754904785682195,0.6,1.1218402661373335
