inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,95.14084165805826,21.2,25.738771723461554,0.8,0.36043787352612244,19.6,19.028168331611653,4.2,5.147754344692311,0.2,0.07208757470522449
Medium Density,98.2,86.86318334905948,21.2,18.046864152190473,0.8,1.0492476258089856,39.3,34.74527333962379,8.5,7.2187456608761895,0.3,0.4196990503235942
High Density,98.2,91.49494567654642,21.2,19.253014960954655,0.8,0.9436754151192988,78.5,73.19595654123714,17.0,15.402411968763724,0.6,0.7549403320954391
