inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,96.24653575002142,21.2,27.007231721816225,0.8,1.1883970586448906,19.6,19.249307150004284,4.2,5.4014463443632454,0.2,0.23767941172897813
Medium Density,98.2,88.70186379401912,21.2,20.24559648632497,0.8,1.3130877211561114,39.3,35.48074551760765,8.5,8.098238594529988,0.3,0.5252350884624446
High Density,98.2,94.32826492735322,21.2,22.308596054786044,0.8,1.0848440487774624,78.5,75.46261194188257,17.0,17.846876843828834,0.6,0.86787523902197
