inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,93.65814506543703,21.2,18.098747097403507,0.8,0.2025452773332634,19.6,18.731629013087407,4.2,3.6197494194807014,0.2,0.040509055466652684
Medium Density,98.2,85.99607840016581,21.2,20.095453542867453,0.8,0.28508822627567953,39.3,34.398431360066326,8.5,8.038181417146982,0.3,0.11403529051027182
High Density,98.2,91.72025420456468,21.2,20.13469543574646,0.8,0.6509494927059921,78.5,73.37620336365175,17.0,16.107756348597167,0.6,0.5207595941647937
