inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,99.74603054560436,21.2,27.451329711908443,0.8,0.012795402751523195,19.6,19.949206109120873,4.2,5.490265942381689,0.2,0.002559080550304639
Medium Density,98.2,93.63222838720128,21.2,17.267746948575464,0.8,0.9033503726157892,39.3,37.452891354880514,8.5,6.907098779430186,0.3,0.36134014904631573
High Density,98.2,93.55453129574715,21.2,17.647016620711707,0.8,1.2157513357022702,78.5,74.84362503659773,17.0,14.117613296569367,0.6,0.9726010685618163
