inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,101.05238087552482,21.2,28.90117676589455,0.8,0.18330659107424832,19.6,20.210476175104965,4.2,5.78023535317891,0.2,0.036661318214849664
Medium Density,98.2,95.88781119611636,21.2,19.746566687023204,0.8,0.0,39.3,38.35512447844655,8.5,7.898626674809282,0.3,0.0
High Density,98.2,100.43627143843862,21.2,19.312821640853297,0.8,1.0999026526173497,78.5,80.34901715075091,17.0,15.450257312682638,0.6,0.8799221220938798
