inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,19.6,21.033868879996035,4.2,2.428756934448888,0.2,0.0
Medium Density,39.3,39.07669561009226,8.5,10.385039011333966,0.3,0.33316616351952544
High Density,78.5,89.22172850609554,17.0,16.387349156134245,0.6,0.03910063376937619
