inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,123.69566149026191,21.2,33.895322605060116,0.8,0.016435833141248968,19.6,24.739132298052382,4.2,6.779064521012024,0.2,0.0032871666282497936
Medium Density,98.2,119.18968091682001,21.2,22.005122621272275,0.8,1.1622204862458878,39.3,47.67587236672801,8.5,8.802049048508911,0.3,0.46488819449835517
High Density,98.2,120.222244988551,21.2,22.726605555605147,0.8,1.5635207195556888,78.5,96.1777959908408,17.0,18.181284444484117,0.6,1.250816575644551
