inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,115.30035496304612,21.2,22.41811886821532,0.8,0.25596935899292483,19.6,23.060070992609226,4.2,4.483623773643064,0.2,0.05119387179858497
Medium Density,98.2,108.50410246745119,21.2,25.181364166893744,0.8,0.3605361481902068,39.3,43.40164098698048,8.5,10.072545666757499,0.3,0.14421445927608273
High Density,98.2,116.00144335035142,21.2,25.451310684032336,0.8,0.8228500486952603,78.5,92.80115468028114,17.0,20.36104854722587,0.6,0.6582800389562083
