inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,19.6,24.371713979574878,4.2,3.2286090497336994,0.2,0.04026972229980687
Medium Density,39.3,40.03977499028813,8.5,9.24669448728135,0.3,0.3680324574450893
High Density,78.5,85.36345939430804,17.0,13.294216873456685,0.6,0.5302729754965408
