inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,19.6,19.06168458148795,4.2,2.791723739715285,0.2,0.27369374350515463
Medium Density,39.3,42.40691386796518,8.5,9.591137222325955,0.3,0.45115279551053133
High Density,78.5,86.18324868088453,17.0,19.21869020341656,0.6,0.6598209675392669
