inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,19.6,20.887962165060074,4.2,6.23678366646183,0.2,0.17954512935343936
Medium Density,39.3,41.379487276521736,8.5,6.455598891787966,0.3,0.03772634526936855
High Density,78.5,89.92567631990696,17.0,14.1826923571774,0.6,0.7146143176579003
