inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,141.49549479906588,21.2,34.57452369779007,0.8,0.4286986855180456,19.6,28.29909895981318,4.2,6.914904739558015,0.2,0.08573973710360912
Medium Density,98.2,102.51570669920467,21.2,20.32228691797353,0.8,0.34486417307244327,39.3,41.006282679681874,8.5,8.128914767189412,0.3,0.1379456692289773
High Density,98.2,104.67494735079056,21.2,20.883288732409223,0.8,0.1665975103522792,78.5,83.73995788063246,17.0,16.70663098592738,0.6,0.13327800828182337
