inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,169.54250513430446,21.2,29.841472368176227,0.8,0.3836976587437224,19.6,33.9085010268609,4.2,5.968294473635246,0.2,0.07673953174874448
Medium Density,98.2,118.02422519710795,21.2,23.3483013261511,0.8,0.4195482952321835,39.3,47.20969007884318,8.5,9.339320530460439,0.3,0.16781931809287343
High Density,98.2,112.76987930405652,21.2,20.994740254021966,0.8,0.4612789750797599,78.5,90.21590344324522,17.0,16.795792203217573,0.6,0.36902318006380797
