inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,114.88113074054164,21.2,20.492923484977,0.8,0.4651326728054772,19.6,22.976226148108328,4.2,4.0985846969954,0.2,0.09302653456109544
Medium Density,98.2,113.85081806613118,21.2,21.27455469073211,0.8,0.06495044311495467,39.3,45.540327226452476,8.5,8.509821876292845,0.3,0.025980177245981867
High Density,98.2,120.8258551603119,21.2,20.589431920112318,0.8,0.4352884106990583,78.5,96.66068412824953,17.0,16.471545536089856,0.6,0.3482307285592467
