inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,19.6,14.613605606104239,4.2,6.561838542728331,0.2,0.0
Medium Density,39.3,37.557290549387965,8.5,5.966398633582585,0.3,0.2113531232678108
High Density,78.5,87.57986442983507,17.0,14.774741281666543,0.6,0.9130507562353595
