inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,111.86136688470009,21.2,30.778088357778994,0.8,0.5560979091780522,19.6,22.37227337694002,4.2,6.155617671555799,0.2,0.11121958183561045
Medium Density,98.2,95.8279344316379,21.2,19.820525205464627,0.8,0.25593567335333345,39.3,38.33117377265516,8.5,7.928210082185851,0.3,0.10237426934133338
High Density,98.2,101.23417903628126,21.2,22.134963990454857,0.8,1.6942234431827057,78.5,80.98734322902502,17.0,17.707971192363885,0.6,1.3553787545461646
