inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,110.79451867636172,21.2,19.539781999318677,0.8,0.0,19.6,22.158903735272347,4.2,3.9079563998637354,0.2,0.0
Medium Density,98.2,88.29922388604595,21.2,26.37251622849398,0.8,0.0,39.3,35.31968955441838,8.5,10.549006491397591,0.3,0.0
High Density,98.2,93.32526830528896,21.2,22.901467802656313,0.8,0.8309379841354618,78.5,74.66021464423117,17.0,18.32117424212505,0.6,0.6647503873083696
