inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,104.80849808392745,21.2,18.807434830714477,0.8,0.34484755723083427,19.6,20.96169961678549,4.2,3.7614869661428956,0.2,0.06896951144616685
Medium Density,98.2,99.00095435563563,21.2,21.428401972406736,0.8,1.0691148259902716,39.3,39.60038174225426,8.5,8.571360788962695,0.3,0.42764593039610865
High Density,98.2,100.30706389505205,21.2,22.845662489168248,0.8,0.0,78.5,80.24565111604164,17.0,18.2765299913346,0.6,0.0
