scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Large_rep1,Low Density,19.6,24.638435538991438,4.2,3.1501320758045477,0.2,0.5772309014944786
Large_rep1,Medium Density,39.3,37.13671954408788,8.5,9.179692547451936,0.3,0.22574705396880682
Large_rep1,High Density,78.5,72.53712396793325,17.0,14.758412557246505,0.6,1.233539925196445
Large_rep2,Low Density,19.6,21.917934983546868,4.2,4.324020469019327,0.2,-0.03989781325782972
Large_rep2,Medium Density,39.3,36.79262556755871,8.5,10.352981465120806,0.3,0.00032856121804391067
Large_rep2,High Density,78.5,75.33526303961824,17.0,17.952479519684196,0.6,0.7329772561588928
Large_rep3,Low Density,19.6,22.38830719078349,4.2,5.219383890285042,0.2,0.3705033346914801
Large_rep3,Medium Density,39.3,39.897220529123764,8.5,7.45995540182356,0.3,0.6767255506809777
Large_rep3,High Density,78.5,76.15719179016793,17.0,16.95256525327032,0.6,0.010678536254381003
Large_rep4,Low Density,19.6,20.38895034038357,4.2,3.5750073469833086,0.2,-0.3097115405817396
Large_rep4,Medium Density,39.3,38.022000756101704,8.5,7.577290733736262,0.3,-0.08318046669341272
Large_rep4,High Density,78.5,75.00264264058866,17.0,14.999124704878284,0.6,0.6476856646877629
Large_rep5,Low Density,19.6,20.039217384167145,4.2,3.478168682069351,0.2,-0.26981662311666693
Large_rep5,Medium Density,39.3,38.318175584930295,8.5,8.24535441717349,0.3,0.40692980239502385
Large_rep5,High Density,78.5,73.870045276115,17.0,14.92738401835947,0.6,0.1898678708248095
Small_rep1,Low Density,19.6,19.803731143498073,4.2,4.661989274522714,0.2,-0.34408664419440155
Small_rep1,Medium Density,39.3,39.77789894247102,8.5,7.862926253878564,0.3,0.4952858074507206
Small_rep1,High Density,78.5,80.99440671729874,17.0,15.952006312170255,0.6,0.8155723612133214
Small_rep2,Low Density,19.6,20.78860989107751,4.2,4.472204569544863,0.2,0.18330997034975594
Small_rep2,Medium Density,39.3,39.46611634821325,8.5,7.713666706714152,0.3,0.7355723336634648
Small_rep2,High Density,78.5,80.0539490884391,17.0,17.976315862332225,0.6,0.03678281748970863
Small_rep3,Low Density,19.6,21.545755823256833,4.2,6.024204548760341,0.2,0.48947323680202903
Small_rep3,Medium Density,39.3,39.86061706065321,8.5,7.425841867632093,0.3,0.2143766993562613
Small_rep3,High Density,78.5,82.45243460451218,17.0,15.641422725922688,0.6,0.6867667147296155
Small_rep4,Low Density,19.6,22.090637402055446,4.2,5.6752901316351005,0.2,0.6178401827601698
Small_rep4,Medium Density,39.3,38.97205743643734,8.5,7.982673214793576,0.3,0.03479936748033913
Small_rep4,High Density,78.5,81.86224181207592,17.0,16.81390524265803,0.6,1.3377285877245055
Small_rep5,Low Density,19.6,21.383932709291685,4.2,5.383130423911454,0.2,0.3653392559978812
Small_rep5,Medium Density,39.3,37.99778842587662,8.5,11.294225897923052,0.3,0.23007503298270918
Small_rep5,High Density,78.5,81.13194161972918,17.0,15.790775876082979,0.6,0.4148860917925893
