inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,116.58012425013175,21.2,32.53950360432534,0.8,0.12348374768808607,19.6,23.316024850026352,4.2,6.507900720865068,0.2,0.024696749537617215
Medium Density,98.2,108.96200464470863,21.2,17.96337413685229,0.8,0.0,39.3,43.584801857883456,8.5,7.185349654740917,0.3,0.0
High Density,98.2,113.21567652293504,21.2,18.30843507552713,0.8,0.721000395003161,78.5,90.57254121834804,17.0,14.646748060421704,0.6,0.5768003160025289
