inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,117.29656885208533,21.2,28.89675185728566,0.8,0.5100927536620903,19.6,23.45931377041707,4.2,5.779350371457133,0.2,0.10201855073241806
Medium Density,98.2,100.98581533711882,21.2,19.86953106825034,0.8,0.9918182028753547,39.3,40.39432613484753,8.5,7.947812427300136,0.3,0.3967272811501419
High Density,98.2,95.75405956545607,21.2,21.494104181864778,0.8,0.06994853732560687,78.5,76.60324765236486,17.0,17.195283345491823,0.6,0.0559588298604855
