inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,112.48192936370995,21.2,18.97532329449498,0.8,0.0,19.6,22.496385872741993,4.2,3.7950646588989962,0.2,0.0
Medium Density,98.2,105.85067883062814,21.2,21.734191575359155,0.8,0.41099824846818234,39.3,42.34027153225126,8.5,8.693676630143662,0.3,0.16439929938727293
High Density,98.2,101.44702069254286,21.2,18.402155639830436,0.8,0.0,78.5,81.15761655403429,17.0,14.72172451186435,0.6,0.0
