vender,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Canon_Aquilion_One_Vision,Large_rep1,Low Density,19.6,26.812194642914086,4.2,3.929062639106464,0.2,0.5685090058967743
Canon_Aquilion_One_Vision,Large_rep1,Medium Density,39.3,38.09147514488362,8.5,9.876251357367877,0.3,0.1826146905380862
Canon_Aquilion_One_Vision,Large_rep1,High Density,78.5,75.56126731038998,17.0,14.150716766458928,0.6,1.7171567959706089
Canon_Aquilion_One_Vision,Large_rep2,Low Density,19.6,22.82894506333154,4.2,4.673138679413872,0.2,-0.001524299350877687
Canon_Aquilion_One_Vision,Large_rep2,Medium Density,39.3,38.318067086883104,8.5,9.791490845999384,0.3,-0.3894377848968886
Canon_Aquilion_One_Vision,Large_rep2,High Density,78.5,81.38082066904309,17.0,16.08190995496566,0.6,0.6477957158026272
Canon_Aquilion_One_Vision,Large_rep3,Low Density,19.6,24.591520105805856,4.2,4.885844716159102,0.2,0.45376626875025217
Canon_Aquilion_One_Vision,Large_rep3,Medium Density,39.3,42.402861609698256,8.5,8.348270740679618,0.3,0.8874404860503162
Canon_Aquilion_One_Vision,Large_rep3,High Density,78.5,81.03068744169937,17.0,17.73961949877219,0.6,-0.13175321162534634
Canon_Aquilion_One_Vision,Large_rep4,Low Density,19.6,20.882719665204746,4.2,3.9887548986794776,0.2,-0.0036549363631106185
Canon_Aquilion_One_Vision,Large_rep4,Medium Density,39.3,41.204291323067984,8.5,7.7140331269714295,0.3,-0.2819281138067547
Canon_Aquilion_One_Vision,Large_rep4,High Density,78.5,77.03792683510189,17.0,12.051936244781722,0.6,0.07154128003167891
Canon_Aquilion_One_Vision,Large_rep5,Low Density,19.6,20.789142318657316,4.2,2.8630149203891513,0.2,-0.37982062584864584
Canon_Aquilion_One_Vision,Large_rep5,Medium Density,39.3,40.817948734285125,8.5,5.052502948210937,0.3,0.39725350252981834
Canon_Aquilion_One_Vision,Large_rep5,High Density,78.5,76.4398691778327,17.0,16.338478251615893,0.6,-0.27796089678207486
Canon_Aquilion_One_Vision,Small_rep1,Low Density,19.6,18.801440835518616,4.2,3.467584023970509,0.2,-0.35666457315893546
Canon_Aquilion_One_Vision,Small_rep1,Medium Density,39.3,39.030179091937285,8.5,7.3499987424751145,0.3,0.6909368650172388
Canon_Aquilion_One_Vision,Small_rep1,High Density,78.5,78.17125838538784,17.0,14.418778383041877,0.6,0.8828192483816093
