inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Low Density,98.2,116.54129648203198,21.2,22.800779246216422,0.8,0.36245863730653355,19.6,23.308259296406398,4.2,4.5601558492432845,0.2,0.07249172746130671
Medium Density,98.2,111.5871866744834,21.2,27.98549000298722,0.8,0.6731306471571458,39.3,44.63487466979336,8.5,11.19419600119489,0.3,0.2692522588628583
High Density,98.2,116.36097348508551,21.2,23.728746384151975,0.8,0.8528721877754558,78.5,93.08877878806841,17.0,18.98299710732158,0.6,0.6822977502203647
